,respop72018,CITY,STATE
244,54879,westhaven,CT
245,70635,wilmington,DE
246,702455,washington,DC
247,70477,homestead,FL
248,189343,capecoral,FL
249,903889,jacksonville,FL
250,73597,kissimmee,FL
251,54115,st.cloud,FL
252,110516,lakeland,FL
253,154823,hollywood,FL
254,84996,largo,FL
255,72094,lauderhill,FL
256,265098,st.petersburg,FL
257,65524,jupitertown,FL
258,57370,bonitasprings,FL
259,58656,margate,FL
260,195248,portst.lucie,FL
261,64252,portorange,FL
262,111954,pompanobeach,FL
263,94288,plantation,FL
264,53098,pinellaspark,FL
265,52713,pensacola,FL
266,172374,pembrokepines,FL
267,53489,apopka,FL
268,87607,palmcoast,FL
269,56284,palmbeachgardens,FL
270,114194,palmbay,FL
271,285713,orlando,FL
272,60429,ocala,FL
273,68628,northport,FL
274,62996,northmiami,FL
275,60035,sanford,FL
276,111398,westpalmbeach,FL
277,99244,bocaraton,FL
278,140823,miramar,FL
279,238942,hialeah,FL
280,113069,miamigardens,FL
281,91718,miamibeach,FL
282,470914,miami,FL
283,78050,boyntonbeach,FL
284,57644,bradenton,FL
285,82826,melbourne,FL
286,57738,sarasota,FL
287,71210,weston,FL
288,95458,sunrise,FL
289,106558,davietown,FL
290,133857,gainesville,FL
291,69358,delraybeach,FL
292,91951,deltona,FL
293,80863,deerfieldbeach,FL
294,392890,tampabay,FL
295,193551,tallahassee,FL
296,182595,fortlauderdale,FL
297,82254,fortmyers,FL
298,61361,coconutcreek,FL
299,50999,coralgables,FL
300,66054,tamarac,FL
301,133507,coralsprings,FL
302,61824,doral,FL
303,116478,clearwater,FL
304,65200,wellingtonvillage,FL
305,68866,daytonabeach,FL
306,145862,savannah,GA
307,60806,marietta,GA
308,194160,columbus,GA
309,108797,sandysprings,GA
310,75797,warnerrobins,GA
311,84310,johnscreek,GA
312,153095,macon-bibbcounty,GA
313,54145,brookhaven,GA
314,66255,alpharetta,GA
315,56426,valdosta,GA
316,97277,southfulton,GA
317,94650,roswell,GA
318,125964,athens-clarkecountyunifiedgovernment(balance),GA
319,75249,albany,GA
320,498044,atlanta,GA
321,196939,augusta-richmondcountyconsolidatedgovernment(balance),GA
322,54522,stonecrest,GA
323,56706,smyrna,GA
324,347397,urbanhonolulucdp,HI
325,96252,nampa,ID
326,56541,caldwell,ID
327,51303,coeurd'alene,ID
328,106804,meridian,ID
329,56266,pocatello,ID
330,228790,boisecity,ID
331,61535,idfalls,ID
332,63280,skokievillage,IL
333,111683,elgin,IL
334,75249,arlingtonheightsvillage,IL
335,114694,springfield,IL
336,111388,peoria,IL
337,58312,orlandparkvillage,IL
338,52265,oakparkvillage,IL
339,55511,oaklawnvillage,IL
340,2705994,chicago,IL
341,199602,aurora,IL
342,54198,mountprospectvillage,IL
343,68053,palatinevillage,IL
344,81597,cicerotown,IL
345,56204,tinleyparkvillage,IL
346,88029,champaign,IL
347,54917,berwyn,IL
348,51197,hoffmanestatesvillage,IL
349,86792,waukegan,IL
350,148304,naperville,IL
351,53150,wheaton,IL
352,77962,bloomington,IL
353,74106,evanston,IL
354,71290,decatur,IL
355,75178,bolingbrookvillage,IL
356,54742,normaltown,IL
357,148099,joliet,IL
358,146526,rockford,IL
359,73509,schaumburgvillage,IL
360,58959,desplaines,IL
361,60753,terrehaute,IN
362,52367,elkhart,IN
363,117963,evansville,IN
364,63133,noblesville,IN
365,84981,bloomington,IN
366,101860,southbend,IN
367,75282,gary,IN
368,93362,fishers,IN
369,267633,fortwayne,IN
370,68529,muncie,IN
371,57869,kokomo,IN
372,75795,hammond,IN
373,55037,anderson,IN
374,867125,indianapolis,IN
375,72168,lafayette,IN
376,93510,carmel,IN
377,58778,greenwood,IN
378,76290,iacity,IA
379,216853,desmoines,IA
380,67154,ames,IA
381,65284,ankeny,IA
382,66641,westdesmoines,IA
383,67798,waterloo,IA
384,82396,siouxcity,IA
385,102085,davenport,IA
386,62421,councilbluffs,IA
387,133174,cedarrapids,IA
388,57941,dubuque,IA
389,192536,overlandpark,KS
390,125904,topeka,KS
391,97286,lawrence,KS
392,55294,lenexa,KS
393,152958,kansas,KS
394,54959,manhattan,KS
395,139605,olathe,KS
396,389255,wichita,KS
397,65845,shawnee,KS
398,68401,bowlinggreen,KY
399,323780,lexington-fayetteurbancounty,KY
400,620118,louisville/jeffersoncountymetrogovernment(balance),KY
401,59809,owensboro,KY
402,221599,batonrouge,LA
403,391006,neworleans,LA
404,188987,shreveport,LA
405,78001,lakecharles,LA
406,66657,kenner,LA
407,126143,lafayette,LA
408,68235,bossiercity,LA
409,66417,portland,ME
410,602495,baltimore,MD
411,58682,bowie,MD
412,68268,rockville,MD
413,72146,frederick,MD
414,68289,gaithersburg,MD
415,57719,weymouthtown,MA
416,89661,fallriver,MA
417,94580,quincy,MA
418,88904,newton,MA
419,53821,revere,MA
420,62962,waltham,MA
421,95315,newbedford,MA
422,694583,boston,MA
423,64041,haverhill,MA
424,80376,lawrence,MA
425,155032,springfield,MA
426,94654,lynn,MA
427,50698,methuentown,MA
428,118977,cambridge,MA
429,95777,brockton,MA
430,61036,malden,MA
431,53278,peabody,MA
432,111670,lowell,MA
433,81562,somerville,MA
434,55582,chicopee,MA
435,57765,medford,MA
436,73123,framingham,MA
437,57296,taunton,MA
